,mof,conc,p,ad,q,std,heat,status,coul,vdw
42,KIYMAI_clean_min_charges,0_0.03,500000,ethene,0.2392287821,0.0028140589,-22.90397,finished,0.00000,-14828.412813
43,KIYMAI_clean_min_charges,0_0.03,750000,ethene,0.2646919048,0.0042383523,-21.90272,finished,0.00000,-17210.208605
44,KIYMAI_clean_min_charges,0_0.03,1000000,ethene,0.2741042202,0.0030622781,-21.32318,finished,0.00000,-18803.844571
45,KIYMAI_clean_min_charges,0_0.03,1,ethane,9.9984e-06,2.3706e-06,-28.64674,finished,0.00000,-0.635091
46,KIYMAI_clean_min_charges,0_0.03,10,ethane,9.2836e-05,1.48047e-05,-28.9833,finished,0.00000,-5.945910
47,KIYMAI_clean_min_charges,0_0.03,100,ethane,0.0009589495,4.85451e-05,-28.90559,finished,0.00000,-61.327817
48,KIYMAI_clean_min_charges,0_0.03,1000,ethane,0.0089372349,0.00017939,-28.89092,finished,0.00000,-571.391768
49,KIYMAI_clean_min_charges,0_0.03,5000,ethane,0.0358020242,0.0010877128,-28.98406,finished,0.00000,-2295.537033
50,KIYMAI_clean_min_charges,0_0.03,10000,ethane,0.0578660803,0.0007275578,-29.03001,finished,0.00000,-3715.648044
51,KIYMAI_clean_min_charges,0_0.03,25000,ethane,0.095067378,0.0009122421,-29.13576,finished,0.00000,-6142.158282
52,KIYMAI_clean_min_charges,0_0.03,50000,ethane,0.126354157,0.0025667626,-29.15033,finished,0.00000,-8231.721652
53,KIYMAI_clean_min_charges,0_0.03,66700,ethane,0.1419220609,0.0015141862,-29.05059,finished,0.00000,-9294.434410
54,KIYMAI_clean_min_charges,0_0.03,75000,ethane,0.1470312425,0.0019640972,-29.04837,finished,0.00000,-9659.183089
55,KIYMAI_clean_min_charges,0_0.03,100000,ethane,0.1622892369,0.0032954679,-29.08087,finished,0.00000,-10743.125513
56,KIYMAI_clean_min_charges,0_0.03,250000,ethane,0.2085537091,0.0017393371,-28.2639,finished,0.00000,-14387.839178
57,KIYMAI_clean_min_charges,0_0.03,500000,ethane,0.2290090296,0.0021907694,-26.83047,finished,0.00000,-17015.334311
58,KIYMAI_clean_min_charges,0_0.03,750000,ethane,0.2297595469,0.0017833047,-25.40786,finished,0.00000,-18460.137295
59,KIYMAI_clean_min_charges,0_0.03,1000000,ethane,0.2178182483,0.0035753763,-24.3989,finished,0.00000,-19253.972653
60,KIYMAI_clean_min_charges,0_0.12,1,ethene,1.51777e-05,5.9709e-06,-33.14248,finished,0.00000,-1.055025
61,KIYMAI_clean_min_charges,0_0.12,10,ethene,0.0001440689,1.34647e-05,-33.10841,finished,0.00000,-10.026792
62,KIYMAI_clean_min_charges,0_0.12,100,ethene,0.0014823151,3.46724e-05,-33.17849,finished,0.00000,-103.770533
63,KIYMAI_clean_min_charges,0_0.12,1000,ethene,0.0139401865,0.0003590455,-33.17558,finished,0.00000,-973.286142
64,KIYMAI_clean_min_charges,0_0.12,5000,ethene,0.0633513489,0.0013357874,-33.23201,finished,0.00000,-4430.626828
65,KIYMAI_clean_min_charges,0_0.12,10000,ethene,0.1103417215,0.0025100075,-33.20073,finished,0.00000,-7720.534957
66,KIYMAI_clean_min_charges,0_0.12,25000,ethene,0.1983865551,0.0022563504,-33.09996,finished,0.00000,-13881.670112
67,KIYMAI_clean_min_charges,0_0.12,50000,ethene,0.2741400187,0.0039413443,-33.34258,finished,0.00000,-19208.633305
68,KIYMAI_clean_min_charges,0_0.12,66700,ethene,0.3037588517,0.0018693946,-33.20811,finished,0.00000,-21299.993477
69,KIYMAI_clean_min_charges,0_0.12,75000,ethene,0.3125264358,0.0052695119,-33.30004,finished,0.00000,-21927.346480
70,KIYMAI_clean_min_charges,0_0.12,100000,ethene,0.3369765805,0.0022740795,-33.21558,finished,0.00000,-23672.527147
71,KIYMAI_clean_min_charges,0_0.12,250000,ethene,0.3871432434,0.001370166,-32.83879,finished,0.00000,-27355.658941
72,KIYMAI_clean_min_charges,0_0.12,500000,ethene,0.4042495709,0.0015710378,-33.23731,finished,0.00000,-28923.771004
73,KIYMAI_clean_min_charges,0_0.12,750000,ethene,0.4068396911,0.0010687308,-32.72041,finished,0.00000,-29455.618749
74,KIYMAI_clean_min_charges,0_0.12,1000000,ethene,0.4063967307,0.0014130997,-33.54027,finished,0.00000,-29817.206766
75,KIYMAI_clean_min_charges,0_0.12,1,ethane,2.66304e-05,5.3301e-06,-37.0568,finished,0.00000,-2.093515
76,KIYMAI_clean_min_charges,0_0.12,10,ethane,0.00024505,1.40223e-05,-37.17748,finished,0.00000,-19.334146
77,KIYMAI_clean_min_charges,0_0.12,100,ethane,0.0024723046,7.86645e-05,-37.0363,finished,0.00000,-194.051228
78,KIYMAI_clean_min_charges,0_0.12,1000,ethane,0.0230522644,0.0008100641,-37.03062,finished,0.00000,-1807.876101
79,KIYMAI_clean_min_charges,0_0.12,5000,ethane,0.0965357127,0.0034993274,-37.09813,finished,0.00000,-7579.059301
80,KIYMAI_clean_min_charges,0_0.12,10000,ethane,0.160580333,0.005638805,-37.16401,finished,0.00000,-12615.078562
81,KIYMAI_clean_min_charges,0_0.12,25000,ethane,0.2604982565,0.0047655642,-37.05607,finished,0.00000,-20475.689977
82,KIYMAI_clean_min_charges,0_0.12,50000,ethane,0.3230023101,0.0055756738,-37.22174,finished,0.00000,-25402.794380
83,KIYMAI_clean_min_charges,0_0.12,66700,ethane,0.347451782,0.0045217567,-37.15457,finished,0.00000,-27361.455741
84,KIYMAI_clean_min_charges,0_0.12,75000,ethane,0.3544086649,0.0040105728,-37.17983,finished,0.00000,-27901.985658
85,KIYMAI_clean_min_charges,0_0.12,100000,ethane,0.3751160809,0.0033949943,-37.11816,finished,0.00000,-29565.622719
86,KIYMAI_clean_min_charges,0_0.12,250000,ethane,0.4074049001,0.0020125557,-37.17401,finished,0.00000,-32327.122666
87,KIYMAI_clean_min_charges,0_0.12,500000,ethane,0.4154268042,0.0024537955,-37.10052,finished,0.00000,-33401.097403
88,KIYMAI_clean_min_charges,0_0.12,750000,ethane,0.4144735683,0.0017363768,-37.86436,finished,0.00000,-33741.983396
89,KIYMAI_clean_min_charges,0_0.12,1000000,ethane,0.4105500526,0.0007552468,-37.75296,finished,0.00000,-33851.653296
90,KIYMAI_clean_min_charges,0,1,ethene,2.14e-07,5.749e-07,,finished,0.00000,-0.013309
91,KIYMAI_clean_min_charges,0,10,ethene,2.3473e-06,2.0628e-06,-18.62298,finished,0.00000,-0.137995
92,KIYMAI_clean_min_charges,0,100,ethene,2.69932e-05,7.6513e-06,-19.02744,finished,0.00000,-1.506447
93,KIYMAI_clean_min_charges,0,1000,ethene,0.000246214,1.4667e-05,-19.15084,finished,0.00000,-14.231188
94,KIYMAI_clean_min_charges,0,5000,ethene,0.0012595244,4.33598e-05,-19.15171,finished,0.00000,-72.423605
95,KIYMAI_clean_min_charges,0,10000,ethene,0.0024819768,5.69824e-05,-19.11277,finished,0.00000,-143.225987
96,KIYMAI_clean_min_charges,0,25000,ethene,0.0062832079,0.0001534294,-19.15456,finished,0.00000,-361.990772
97,KIYMAI_clean_min_charges,0,50000,ethene,0.0124141152,0.0002353745,-19.15001,finished,0.00000,-717.906223
98,KIYMAI_clean_min_charges,0,66700,ethene,0.0165637834,0.0003958756,-19.13296,finished,0.00000,-956.938493
99,KIYMAI_clean_min_charges,0,75000,ethene,0.0187432838,0.0003786213,-19.14467,finished,0.00000,-1081.289520
100,KIYMAI_clean_min_charges,0,100000,ethene,0.0250628378,0.0005457175,-19.13304,finished,0.00000,-1445.424322
101,KIYMAI_clean_min_charges,0,250000,ethene,0.059786641,0.001465805,-19.1908,finished,0.00000,-3504.013178
