MOF,Eform,Efermi,K,G
FERHAN,-0.49771005,-2.058963,31.823575025522,14.1167852585996
FEWGUL,-0.4669938,0.6072831,21.5522983482618,18.7514531961241
FEZREJ,-0.93288434,-3.0695183,32.2100525337833,13.9010985077876
FIGXAW,-0.565763,-0.3321185,21.0307729217892,10.5121733609586
FIJCUX,-0.7864861,-2.1264951,31.303142985678,14.3947405059365
FIJCUX01,-0.8013157,-2.0360544,31.1429283454087,14.6714739314406
FIPWOS,-0.50555944,-1.1074846,18.8722565425624,13.0714303589317
FIPWUY,-0.50526965,-1.1094377,18.7066192158156,12.9667066332655
FIPXEJ,-0.5089157,-0.959805,19.881997127416,13.1065678558471
FIQCEN,-0.64081824,-2.7796428,37.5610657590174,16.7015715908268
FIRVEH,-1.4015741,-1.834099,45.5821702747815,13.2003933330168
FUDQIF,-0.9271309,-2.080558,23.0710704928814,12.5947124135812
FUNBAS,-0.32018527,-0.9305146,23.5724743258575,15.2944447599191
FUNBEW,-0.3084579,-2.567311,35.5935427309489,12.0974693507849
FUNBIA,-0.3049518,-1.1858294,26.3682353376553,14.5926572920337
FUNBOG,-0.28911483,-2.3810103,36.793479854547,12.0610968428236
FUNCAT,-0.2886336,-1.0158803,26.8726834949088,15.9176483201196
FUNCEX,-0.27437764,-2.5765817,38.6912170187936,14.532322870197
FUSWIA,0.115736544,-1.1370342,51.8911166743335,9.54218593605846
GACQAE,-0.5108141,-2.037265,26.4641801005957,16.1599918819063
GALCED,-0.29787996,-0.9202192,20.0863777378481,10.9757538961664
GAXWEJ,-0.8376512,-1.503052,26.4308006514384,13.2937154496408
GAYFOD,0.07162495,-1.7269037,56.4763755485828,13.8964555690775
GAYFUJ,0.26090148,-1.6066496,48.1739319354384,10.9489703228911
GEDLIM,-0.3288148,-1.394129,21.820595139534,10.2108536543956
GEHSAN,-0.41426265,-0.02169013,26.3708193605052,13.1092303618563
GIFKIP,-0.21047139,-2.1372635,16.025116734957,6.63760966125329
GIMSIG,-0.72975284,-2.07984,25.2615560352619,10.7027641315797
GIMVAA,-0.12453315,-1.4958432,34.2354406869993,14.7327581144518
GINLIA,-0.37048742,-2.4732983,29.8525167267614,12.2134803350287
GITWIQ,-0.3391468,-0.9086318,28.2287998998883,19.1275823300729
GIZJOP,-0.1494189,-1.4075415,48.3925969451854,9.53103715281582
GOMRAC,-3.1360052,-2.2544396,23.843309862565,27.1666679222285
GOMREG,-3.134551,-2.0599802,23.2436665238168,27.1289842055154
GUFREF,-0.27673113,-1.1344373,17.2758250737047,8.10482458855135
GULPIN,-0.5424689,-1.6034544,18.7534349257237,12.4652735550503
GUWDUY,-0.3420226,-2.1127837,28.6814556904175,7.06995635525065
