,mof,conc,p,ad,q,std,heat,status
55,GACQAE_clean_min_charges,0_0.06,100000,ethane,1.2312978791,0.0125270832,-34.69616,finished
56,GACQAE_clean_min_charges,0_0.06,250000,ethane,1.5796611275,0.0140467594,-34.15302,finished
57,GACQAE_clean_min_charges,0_0.06,500000,ethane,1.7563910874,0.0065546072,-33.92697,finished
58,GACQAE_clean_min_charges,0_0.06,750000,ethane,1.8258189449,0.0067871911,-33.05497,finished
59,GACQAE_clean_min_charges,0_0.06,1000000,ethane,1.8562726261,0.0026110338,-33.28618,finished
60,GULPIN_clean_min_charges,0_0.02,1,ethene,3.66953e-05,8.7396e-06,-27.17454,finished
61,GULPIN_clean_min_charges,0_0.02,10,ethene,0.0003578548,1.63788e-05,-27.1411,finished
62,GULPIN_clean_min_charges,0_0.02,100,ethene,0.0034621414,7.13542e-05,-27.17223,finished
63,GULPIN_clean_min_charges,0_0.02,1000,ethene,0.0340649842,0.0005285397,-27.1698,finished
64,GULPIN_clean_min_charges,0_0.02,5000,ethene,0.1554546952,0.0008511101,-27.28976,finished
65,GULPIN_clean_min_charges,0_0.02,10000,ethene,0.2849005635,0.0016323289,-27.36725,finished
66,GULPIN_clean_min_charges,0_0.02,25000,ethene,0.5536825838,0.0036811968,-27.54612,finished
67,GULPIN_clean_min_charges,0_0.02,50000,ethene,0.8049792742,0.0086180501,-27.71601,finished
68,GULPIN_clean_min_charges,0_0.02,66700,ethene,0.9081299746,0.0043415667,-27.69725,finished
69,GULPIN_clean_min_charges,0_0.02,75000,ethene,0.9487601162,0.0037006379,-27.67082,finished
70,GULPIN_clean_min_charges,0_0.02,100000,ethene,1.0426465495,0.004999777,-27.7492,finished
71,GULPIN_clean_min_charges,0_0.02,250000,ethene,1.3255573275,0.0042379208,-27.61291,finished
72,GULPIN_clean_min_charges,0_0.02,500000,ethene,1.5020285796,0.0033774391,-27.14656,finished
73,GULPIN_clean_min_charges,0_0.02,750000,ethene,1.5908708174,0.0049986795,-26.76375,finished
74,GULPIN_clean_min_charges,0_0.02,1000000,ethene,1.6476517453,0.0094509815,-26.60869,finished
75,GULPIN_clean_min_charges,0_0.02,1,ethane,0.0001024496,9.4748e-06,-31.04211,finished
76,GULPIN_clean_min_charges,0_0.02,10,ethane,0.0009966374,4.51585e-05,-31.04647,finished
77,GULPIN_clean_min_charges,0_0.02,100,ethane,0.00993889,0.0001652202,-30.9925,finished
78,GULPIN_clean_min_charges,0_0.02,1000,ethane,0.0952253631,0.0007617958,-31.14111,finished
79,GULPIN_clean_min_charges,0_0.02,5000,ethane,0.3770331109,0.003081261,-31.66887,finished
80,GULPIN_clean_min_charges,0_0.02,10000,ethane,0.6005350071,0.0084137062,-31.7994,finished
81,GULPIN_clean_min_charges,0_0.02,25000,ethane,0.8981195511,0.0082452463,-31.95545,finished
82,GULPIN_clean_min_charges,0_0.02,50000,ethane,1.0847517217,0.0036364243,-32.01182,finished
83,GULPIN_clean_min_charges,0_0.02,66700,ethane,1.1503518224,0.0073270852,-31.8652,finished
84,GULPIN_clean_min_charges,0_0.02,75000,ethane,1.1809635526,0.0097893419,-31.71252,finished
85,GULPIN_clean_min_charges,0_0.02,100000,ethane,1.2373323936,0.0038058867,-31.53189,finished
86,GULPIN_clean_min_charges,0_0.02,250000,ethane,1.409674072,0.0042560011,-30.78706,finished
87,GULPIN_clean_min_charges,0_0.02,500000,ethane,1.5226988506,0.0109312747,-30.0827,finished
88,GULPIN_clean_min_charges,0_0.02,750000,ethane,1.5763457096,0.0068066573,-29.72175,finished
89,GULPIN_clean_min_charges,0_0.02,1000000,ethane,1.6220817839,0.010137454,-29.6009,finished
90,GULPIN_clean_min_charges,0_0.16,1,ethene,-1.36e-08,0.0,,finished
91,GULPIN_clean_min_charges,0_0.16,10,ethene,-1.359e-07,0.0,,finished
92,GULPIN_clean_min_charges,0_0.16,100,ethene,-6.014e-07,4.703e-07,-17.79477,finished
93,GULPIN_clean_min_charges,0_0.16,1000,ethene,-7.7568e-06,7.132e-07,-17.36894,finished
94,GULPIN_clean_min_charges,0_0.16,5000,ethene,-3.77408e-05,4.3278e-06,-17.6935,finished
95,GULPIN_clean_min_charges,0_0.16,10000,ethene,-7.36316e-05,3.1299e-06,-17.49372,finished
96,GULPIN_clean_min_charges,0_0.16,25000,ethene,-0.000185053,1.62676e-05,-17.66908,finished
97,GULPIN_clean_min_charges,0_0.16,50000,ethene,-0.0003714373,4.07548e-05,-17.53247,finished
98,GULPIN_clean_min_charges,0_0.16,66700,ethene,-0.0004918433,4.29288e-05,-17.45611,finished
99,GULPIN_clean_min_charges,0_0.16,75000,ethene,-0.0005611301,4.06238e-05,-17.39108,finished
100,GULPIN_clean_min_charges,0_0.16,100000,ethene,-0.0007483057,4.43592e-05,-17.47897,finished
101,GULPIN_clean_min_charges,0_0.16,250000,ethene,-0.0019452968,0.000107894,-17.54445,finished
102,GULPIN_clean_min_charges,0_0.16,500000,ethene,-0.0040163893,0.0002412896,-17.51494,finished
103,GULPIN_clean_min_charges,0_0.16,750000,ethene,-0.0062331323,0.0003386329,-17.46804,finished
104,GULPIN_clean_min_charges,0_0.16,1000000,ethene,-0.0087579457,0.0003613428,-17.50775,finished
105,GULPIN_clean_min_charges,0_0.16,1,ethane,-1.35e-08,0.0,,finished
106,GULPIN_clean_min_charges,0_0.16,10,ethane,-1.352e-07,0.0,,finished
107,GULPIN_clean_min_charges,0_0.16,100,ethane,-1.3523e-06,0.0,,finished
108,GULPIN_clean_min_charges,0_0.16,1000,ethane,-1.35237e-05,0.0,,finished
109,GULPIN_clean_min_charges,0_0.16,5000,ethane,-6.69592e-05,7.727e-07,,finished
110,GULPIN_clean_min_charges,0_0.16,10000,ethane,-0.0001344295,8.543e-07,,finished
111,GULPIN_clean_min_charges,0_0.16,25000,ethane,-0.0003371803,9.045e-07,-10.16029,finished
112,GULPIN_clean_min_charges,0_0.16,50000,ethane,-0.0006764658,1.4341e-06,-9.47647,finished
113,GULPIN_clean_min_charges,0_0.16,66700,ethane,-0.000903682,2.1906e-06,-10.0127,finished
114,GULPIN_clean_min_charges,0_0.16,75000,ethane,-0.0010168093,2.6808e-06,-10.03349,finished
115,GULPIN_clean_min_charges,0_0.16,100000,ethane,-0.001358073,3.7087e-06,-9.74641,finished
116,GULPIN_clean_min_charges,0_0.16,250000,ethane,-0.0034392563,4.5301e-06,-9.15344,finished
117,GULPIN_clean_min_charges,0_0.16,500000,ethane,-0.007033494,6.3788e-06,-8.93205,finished
118,GULPIN_clean_min_charges,0_0.16,750000,ethane,-0.0107948278,1.65392e-05,-8.07608,finished
119,GULPIN_clean_min_charges,0_0.16,1000000,ethane,-0.01475825,1.20929e-05,-8.57051,finished
120,GULPIN_clean_min_charges,0_0.05,1,ethene,2.02538e-05,3.3968e-06,-26.88915,finished
121,GULPIN_clean_min_charges,0_0.05,10,ethene,0.0002083693,1.25469e-05,-26.90043,finished
122,GULPIN_clean_min_charges,0_0.05,100,ethene,0.0020190588,2.85317e-05,-27.01141,finished
123,GULPIN_clean_min_charges,0_0.05,1000,ethene,0.0196441612,0.0002806589,-27.0,finished
124,GULPIN_clean_min_charges,0_0.05,5000,ethene,0.0869873643,0.0012557321,-27.07382,finished
125,GULPIN_clean_min_charges,0_0.05,10000,ethene,0.1542963932,0.0016085086,-27.19081,finished
126,GULPIN_clean_min_charges,0_0.05,25000,ethene,0.2992236152,0.0034580221,-27.36495,finished
127,GULPIN_clean_min_charges,0_0.05,50000,ethene,0.4561300923,0.0051744163,-27.49982,finished
128,GULPIN_clean_min_charges,0_0.05,66700,ethene,0.538787807,0.0019101721,-27.61974,finished
129,GULPIN_clean_min_charges,0_0.05,75000,ethene,0.5690210805,0.0044856472,-27.66568,finished
130,GULPIN_clean_min_charges,0_0.05,100000,ethene,0.6521208549,0.0057475729,-27.68456,finished
131,GULPIN_clean_min_charges,0_0.05,250000,ethene,0.9416790666,0.0087962662,-28.10139,finished
132,GULPIN_clean_min_charges,0_0.05,500000,ethene,1.1291092259,0.0034712928,-28.05735,finished
133,GULPIN_clean_min_charges,0_0.05,750000,ethene,1.216245031,0.0074799266,-28.14405,finished
134,GULPIN_clean_min_charges,0_0.05,1000000,ethene,1.2503629119,0.0077591699,-27.88167,finished
135,GULPIN_clean_min_charges,0_0.05,1,ethane,6.75872e-05,6.6693e-06,-31.41633,finished
136,GULPIN_clean_min_charges,0_0.05,10,ethane,0.000695505,2.18513e-05,-31.22913,finished
137,GULPIN_clean_min_charges,0_0.05,100,ethane,0.0068840986,8.34897e-05,-31.20791,finished
138,GULPIN_clean_min_charges,0_0.05,1000,ethane,0.0595074639,0.0003846029,-31.22905,finished
139,GULPIN_clean_min_charges,0_0.05,5000,ethane,0.1969003597,0.0029768653,-31.18551,finished
140,GULPIN_clean_min_charges,0_0.05,10000,ethane,0.2905419054,0.0018768489,-31.16721,finished
141,GULPIN_clean_min_charges,0_0.05,25000,ethane,0.4611457381,0.0039775384,-31.29554,finished
142,GULPIN_clean_min_charges,0_0.05,50000,ethane,0.6243212653,0.0062670241,-31.24023,finished
143,GULPIN_clean_min_charges,0_0.05,66700,ethane,0.6997071064,0.0070524594,-31.31659,finished
144,GULPIN_clean_min_charges,0_0.05,75000,ethane,0.7310763685,0.0128316827,-31.25055,finished
145,GULPIN_clean_min_charges,0_0.05,100000,ethane,0.8189153421,0.0101122971,-31.25413,finished
146,GULPIN_clean_min_charges,0_0.05,250000,ethane,1.0738647418,0.0118549806,-31.28242,finished
